gtap_code,bea_code,bea_description
FMP,332500,Hardware manufacturing
FMP,332600,Spring and wire product manufacturing
FMP,332710,Machine shops
FMP,332720,"Turned product and screw, nut, and bolt manufacturing"
FMP,332800,"Coating, engraving, heat treating and allied activities"
FMP,33291A,Valve and fittings other than plumbing
FMP,332913,Plumbing fixture fitting and trim manufacturing
FMP,332991,Ball and roller bearing manufacturing
FMP,33299A,"Ammunition, arms, ordnance, and accessories manufacturing"
FMP,332996,Fabricated pipe and pipe fitting manufacturing
FMP,332999,Other fabricated metal manufacturing
OME,333111,Farm machinery and equipment manufacturing
OME,333112,Lawn and garden equipment manufacturing
OME,333120,Construction machinery manufacturing
OME,333130,Mining and oil and gas field machinery manufacturing
OME,333242,Semiconductor machinery manufacturing
OME,33329A,Other industrial machinery manufacturing
OME,333314,Optical instrument and lens manufacturing
OME,333316,Photographic and photocopying equipment manufacturing
OME,333318,Other commercial and service industry machinery manufacturing
OME,333413,Industrial and commercial fan and blower and air purification equipment manufacturing
OME,333414,Heating equipment (except warm air furnaces) manufacturing
OME,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing"
OME,333511,Industrial mold manufacturing
