summary_code,detail_code,detail_description
624,624A00,"Community food, housing, and other relief services, including vocational rehabilitation services"
711AS,711100,Performing arts companies
711AS,711200,Spectator sports
711AS,711500,"Independent artists, writers, and performers"
711AS,711A00,Promoters of performing arts and sports and agents for public figures
711AS,712000,"Museums, historical sites, zoos, and parks"
713,713100,Amusement parks and arcades
713,713200,Gambling industries (except casino hotels)
713,713900,Other amusement and recreation industries
721,721000,Accommodation
722,722110,Full-service restaurants
722,722211,Limited-service restaurants
722,722A00,All other food and drinking places
81,811100,Automotive repair and maintenance (including car washes)
81,811200,Electronic and precision equipment repair and maintenance
81,811300,Commercial and industrial machinery and equipment repair and maintenance
81,811400,Personal and household goods repair and maintenance
81,812100,Personal care services
81,812200,Death care services
81,812300,Dry-cleaning and laundry services
81,812900,Other personal services
81,813100,Religious organizations
81,813A00,"Grantmaking, giving, and social advocacy organizations"
81,813B00,"Civic, social, professional, and similar organizations"
81,814000,Private households
GSLG,GSLGE,State and local government (educational services)
GSLG,GSLGH,State and local government (hospitals and health services)
GSLG,GSLGO,State and local government (other services)
GFE,S00101,Federal electric utilities
GFE,S00102,Other federal government enterprises
GSLE,S00201,State and local government passenger transit
GSLE,S00202,State and local government electric utilities
GSLE,S00203,Other state and local government enterprises
Other,S00300,Noncomparable imports
Used,S00401,Scrap
Used,S00402,Used and secondhand goods
GFGD,S00500,Federal general government (defense)
GFGN,S00600,Federal general government (nondefense)
Other,S00900,Rest of the world adjustment
